waypoint_id,x,y
364,-459.0,175.0
365,-457.0,175.0
366,-455.0,175.0
367,-453.0,175.0
368,-451.0,175.0
369,-449.0,175.0
370,-447.0,175.0
371,-445.0,175.0
372,-443.0,175.0
373,-441.0,175.0
374,-439.0,175.0
375,-437.0,175.0
376,-435.0,175.0
377,-433.0,175.0
378,-431.0,175.0
379,-429.0,175.0
380,-427.0,175.0
381,-425.0,175.0
382,-423.0,175.0
383,-421.0,175.0
384,-419.0,175.0
385,-417.0,175.0
386,-415.0,175.0
387,-413.0,175.0
388,-413.0,177.0
389,-413.0,179.0
390,-415.0,179.0
391,-417.0,179.0
392,-419.0,179.0
393,-421.0,179.0
394,-423.0,179.0
395,-425.0,179.0
396,-427.0,179.0
397,-429.0,179.0
398,-431.0,179.0
399,-433.0,179.0
400,-435.0,179.0
401,-437.0,179.0
402,-439.0,179.0
403,-441.0,179.0
404,-443.0,179.0
405,-445.0,179.0
406,-447.0,179.0
407,-449.0,179.0
408,-451.0,179.0
409,-453.0,179.0
410,-455.0,179.0
411,-457.0,179.0
412,-459.0,179.0
413,-461.0,179.0
414,-463.0,179.0
415,-465.0,179.0
416,-467.0,179.0
417,-469.0,179.0
418,-471.0,179.0
419,-473.0,179.0
420,-475.0,179.0
421,-477.0,179.0
422,-479.0,179.0
423,-481.0,179.0
424,-483.0,179.0
425,-485.0,179.0
426,-487.0,179.0
427,-489.0,179.0
428,-491.0,179.0
429,-493.0,179.0
430,-495.0,179.0
431,-497.0,179.0
432,-499.0,179.0
433,-501.0,179.0
434,-503.0,179.0
435,-505.0,179.0
436,-507.0,179.0
437,-509.0,179.0
438,-511.0,179.0
439,-513.0,179.0
440,-515.0,179.0
441,-517.0,179.0
442,-519.0,179.0
443,-521.0,179.0
444,-523.0,179.0
445,-525.0,179.0
446,-527.0,179.0
447,-529.0,179.0
448,-531.0,179.0
449,-533.0,179.0
450,-535.0,179.0
451,-537.0,179.0
452,-539.0,179.0
453,-541.0,179.0
454,-543.0,179.0
455,-545.0,179.0
456,-547.0,179.0
457,-549.0,179.0
458,-551.0,179.0
459,-553.0,179.0
460,-555.0,179.0
461,-557.0,179.0
462,-559.0,179.0
463,-561.0,179.0
464,-561.0,181.0
465,-561.0,183.0
466,-559.0,183.0
467,-557.0,183.0
468,-555.0,183.0
469,-553.0,183.0
470,-551.0,183.0
471,-549.0,183.0
472,-547.0,183.0
473,-545.0,183.0
474,-543.0,183.0
475,-541.0,183.0
476,-539.0,183.0
477,-537.0,183.0
478,-535.0,183.0
479,-533.0,183.0
480,-531.0,183.0
481,-529.0,183.0
482,-527.0,183.0
483,-525.0,183.0
484,-523.0,183.0
485,-521.0,183.0
486,-519.0,183.0
487,-517.0,183.0
488,-515.0,183.0
489,-513.0,183.0
490,-511.0,183.0
491,-509.0,183.0
492,-507.0,183.0
493,-505.0,183.0
494,-503.0,183.0
495,-501.0,183.0
496,-499.0,183.0
497,-497.0,183.0
498,-495.0,183.0
499,-493.0,183.0
500,-491.0,183.0
501,-489.0,183.0
502,-487.0,183.0
503,-485.0,183.0
504,-483.0,183.0
505,-481.0,183.0
506,-479.0,183.0
507,-477.0,183.0
508,-475.0,183.0
509,-473.0,183.0
510,-471.0,183.0
511,-469.0,183.0
512,-467.0,183.0
513,-465.0,183.0
514,-463.0,183.0
515,-461.0,183.0
516,-459.0,183.0
517,-457.0,183.0
518,-455.0,183.0
519,-453.0,183.0
520,-451.0,183.0
521,-449.0,183.0
522,-447.0,183.0
523,-445.0,183.0
524,-443.0,183.0
525,-441.0,183.0
526,-439.0,183.0
527,-437.0,183.0
528,-435.0,183.0
529,-433.0,183.0
530,-431.0,183.0
531,-429.0,183.0
532,-427.0,183.0
533,-425.0,183.0
534,-423.0,183.0
535,-421.0,183.0
536,-419.0,183.0
537,-417.0,183.0
538,-415.0,183.0
539,-413.0,183.0
540,-413.0,185.0
541,-413.0,187.0
542,-415.0,187.0
543,-417.0,187.0
544,-419.0,187.0
545,-421.0,187.0
546,-423.0,187.0
547,-425.0,187.0
548,-427.0,187.0
549,-429.0,187.0
550,-431.0,187.0
551,-433.0,187.0
552,-435.0,187.0
553,-437.0,187.0
554,-439.0,187.0
555,-441.0,187.0
556,-443.0,187.0
557,-445.0,187.0
558,-447.0,187.0
559,-449.0,187.0
560,-451.0,187.0
561,-453.0,187.0
562,-455.0,187.0
563,-457.0,187.0
564,-459.0,187.0
565,-461.0,187.0
566,-463.0,187.0
567,-465.0,187.0
568,-467.0,187.0
569,-469.0,187.0
570,-471.0,187.0
571,-473.0,187.0
572,-475.0,187.0
573,-477.0,187.0
574,-479.0,187.0
575,-481.0,187.0
576,-483.0,187.0
577,-485.0,187.0
578,-487.0,187.0
579,-489.0,187.0
580,-491.0,187.0
581,-493.0,187.0
582,-495.0,187.0
583,-497.0,187.0
584,-499.0,187.0
585,-501.0,187.0
586,-503.0,187.0
587,-505.0,187.0
588,-507.0,187.0
589,-509.0,187.0
590,-511.0,187.0
591,-513.0,187.0
592,-515.0,187.0
593,-517.0,187.0
594,-519.0,187.0
595,-521.0,187.0
596,-523.0,187.0
597,-525.0,187.0
598,-527.0,187.0
599,-529.0,187.0
600,-531.0,187.0
601,-533.0,187.0
602,-535.0,187.0
603,-537.0,187.0
604,-539.0,187.0
605,-541.0,187.0
606,-543.0,187.0
607,-545.0,187.0
608,-547.0,187.0
609,-549.0,187.0
610,-551.0,187.0
611,-553.0,187.0
612,-555.0,187.0
613,-557.0,187.0
614,-559.0,187.0
615,-561.0,187.0
616,-561.0,189.0
617,-561.0,191.0
618,-559.0,191.0
619,-557.0,191.0
620,-555.0,191.0
621,-553.0,191.0
622,-551.0,191.0
623,-549.0,191.0
624,-547.0,191.0
625,-545.0,191.0
626,-543.0,191.0
627,-541.0,191.0
628,-539.0,191.0
629,-537.0,191.0
630,-535.0,191.0
631,-533.0,191.0
632,-531.0,191.0
633,-529.0,191.0
634,-527.0,191.0
635,-525.0,191.0
636,-523.0,191.0
637,-521.0,191.0
638,-519.0,191.0
639,-517.0,191.0
640,-515.0,191.0
641,-513.0,191.0
642,-511.0,191.0
643,-509.0,191.0
644,-507.0,191.0
645,-505.0,191.0
646,-503.0,191.0
647,-501.0,191.0
648,-499.0,191.0
649,-497.0,191.0
650,-495.0,191.0
651,-493.0,191.0
652,-491.0,191.0
653,-489.0,191.0
654,-487.0,191.0
